Stock,Date,Open,High,Low,Close,Adj Close,Volume
Apple,24/02/1989,1.321429,1.321429,1.285714,1.285714,0.097703,38032400
Apple,27/02/1989,1.285714,1.303571,1.276786,1.303571,0.09906,28980000
Apple,28/02/1989,1.303571,1.3125,1.285714,1.294643,0.098381,44004800
Apple,01/03/1989,1.294643,1.303571,1.267857,1.285714,0.097703,42532000
Apple,02/03/1989,1.276786,1.294643,1.241071,1.25,0.094989,94082800
Apple,03/03/1989,1.258929,1.258929,1.214286,1.241071,0.09431,96944400
Apple,06/03/1989,1.25,1.28125,1.232143,1.267857,0.096346,42128800
Apple,07/03/1989,1.267857,1.285714,1.25,1.276786,0.097024,65172800
Apple,08/03/1989,1.272321,1.294643,1.258929,1.258929,0.095667,54073600
Apple,09/03/1989,1.258929,1.276786,1.232143,1.232143,0.093632,33359200
Apple,10/03/1989,1.232143,1.25,1.223214,1.25,0.094989,25678800
Apple,13/03/1989,1.25,1.267857,1.241071,1.25,0.094989,32776800
Apple,14/03/1989,1.25,1.267857,1.245536,1.258929,0.095667,40485200
Apple,15/03/1989,1.258929,1.267857,1.241071,1.25,0.094989,22514800
Apple,16/03/1989,1.25,1.267857,1.232143,1.258929,0.095667,48059200
Apple,17/03/1989,1.232143,1.276786,1.214286,1.245536,0.094649,59281600
Apple,20/03/1989,1.25,1.258929,1.232143,1.245536,0.094649,45362800
Apple,21/03/1989,1.267857,1.267857,1.241071,1.245536,0.094649,32048800
Apple,22/03/1989,1.223214,1.241071,1.205357,1.209821,0.091935,36212400
Apple,23/03/1989,1.214286,1.232143,1.205357,1.227679,0.093292,29727600
Apple,27/03/1989,1.223214,1.232143,1.196429,1.205357,0.091596,37914800
Apple,28/03/1989,1.214286,1.232143,1.214286,1.214286,0.092275,35313600
Apple,29/03/1989,1.214286,1.232143,1.214286,1.223214,0.092953,18600400
Apple,30/03/1989,1.223214,1.25,1.214286,1.241071,0.09431,26311600
Apple,31/03/1989,1.25,1.276786,1.241071,1.272321,0.096685,46337200
Apple,03/04/1989,1.267857,1.294643,1.241071,1.25,0.094989,41571600
Apple,04/04/1989,1.232143,1.245536,1.209821,1.232143,0.093632,28932400
Apple,05/04/1989,1.232143,1.258929,1.223214,1.25,0.094989,30063600
Apple,06/04/1989,1.241071,1.290179,1.232143,1.285714,0.097703,39093600
Apple,07/04/1989,1.285714,1.339286,1.285714,1.334821,0.101434,88746000
Apple,10/04/1989,1.330357,1.357143,1.3125,1.321429,0.100417,33843600
Apple,11/04/1989,1.339286,1.357143,1.321429,1.348214,0.102452,36635200
Apple,12/04/1989,1.366071,1.401786,1.352679,1.375,0.104488,96978000
Apple,13/04/1989,1.383929,1.410714,1.366071,1.375,0.104488,45318000
Apple,14/04/1989,1.392857,1.401786,1.366071,1.383929,0.105166,30839200
Apple,17/04/1989,1.375,1.401786,1.357143,1.401786,0.106523,35036400
Apple,18/04/1989,1.410714,1.446429,1.401786,1.433036,0.108898,140246400
Apple,19/04/1989,1.428571,1.486607,1.419643,1.459821,0.110933,106470000
Apple,20/04/1989,1.455357,1.482143,1.4375,1.455357,0.110594,44954000
Apple,21/04/1989,1.446429,1.459821,1.419643,1.433036,0.108898,28792400
Apple,24/04/1989,1.428571,1.4375,1.410714,1.433036,0.108898,27697600
Apple,25/04/1989,1.428571,1.446429,1.419643,1.428571,0.108559,29044400
Apple,26/04/1989,1.428571,1.4375,1.397321,1.419643,0.10788,46533200
Apple,27/04/1989,1.410714,1.428571,1.392857,1.40625,0.106862,34846000
Apple,28/04/1989,1.401786,1.410714,1.375,1.392857,0.105845,25964400
Apple,01/05/1989,1.375,1.401786,1.375,1.392857,0.105845,20165600
Apple,02/05/1989,1.392857,1.4375,1.392857,1.424107,0.108219,53936400
Apple,03/05/1989,1.419643,1.455357,1.419643,1.4375,0.109237,55134800
Apple,04/05/1989,1.4375,1.473214,1.428571,1.464286,0.111272,47227600
Apple,05/05/1989,1.517857,1.526786,1.482143,1.482143,0.112629,115189200
Apple,08/05/1989,1.482143,1.508929,1.482143,1.508929,0.114665,51480800
Apple,09/05/1989,1.5,1.535714,1.5,1.517857,0.115343,86693600
Apple,10/05/1989,1.535714,1.553571,1.517857,1.544643,0.117379,58609600
Apple,11/05/1989,1.544643,1.580357,1.535714,1.566964,0.119075,75236000
Apple,12/05/1989,1.589286,1.607143,1.571429,1.607143,0.122128,116785200
Apple,15/05/1989,1.598214,1.651786,1.598214,1.642857,0.124842,79475200
Apple,16/05/1989,1.642857,1.651786,1.607143,1.620536,0.123146,57167600
Apple,17/05/1989,1.616071,1.625,1.607143,1.616071,0.122807,62115200
Apple,18/05/1989,1.616071,1.625,1.598214,1.598214,0.12145,52813600
Apple,19/05/1989,1.598214,1.651786,1.598214,1.633929,0.124164,82692400
Apple,22/05/1989,1.633929,1.651786,1.616071,1.642857,0.132981,47600000
Apple,23/05/1989,1.642857,1.642857,1.616071,1.625,0.131536,33616800
Apple,24/05/1989,1.616071,1.705357,1.616071,1.705357,0.13804,74401600
Apple,25/05/1989,1.6875,1.75,1.6875,1.723214,0.139486,58091600
Apple,26/05/1989,1.723214,1.75,1.714286,1.732143,0.140208,28128800
Apple,30/05/1989,1.723214,1.75,1.691964,1.696429,0.137317,27980400
Apple,31/05/1989,1.696429,1.71875,1.678571,1.705357,0.13804,28803600
Apple,01/06/1989,1.705357,1.758929,1.696429,1.741071,0.140931,44875600
Apple,02/06/1989,1.732143,1.767857,1.732143,1.75,0.141654,31119200
Apple,05/06/1989,1.741071,1.75,1.660714,1.678571,0.135872,31029600
Apple,06/06/1989,1.669643,1.678571,1.651786,1.669643,0.135149,36251600
Apple,07/06/1989,1.669643,1.732143,1.669643,1.723214,0.139486,43918000
Apple,08/06/1989,1.732143,1.75,1.6875,1.700893,0.137679,44503200
Apple,09/06/1989,1.6875,1.705357,1.660714,1.678571,0.135872,23604000
Apple,12/06/1989,1.669643,1.705357,1.651786,1.696429,0.137317,20216000
Apple,13/06/1989,1.696429,1.741071,1.678571,1.732143,0.140208,57744400
Apple,14/06/1989,1.75,1.794643,1.723214,1.772321,0.143461,62826400
Apple,15/06/1989,1.767857,1.776786,1.696429,1.696429,0.137317,40350800
Apple,16/06/1989,1.598214,1.625,1.553571,1.589286,0.128645,135500400
Apple,19/06/1989,1.589286,1.598214,1.553571,1.571429,0.127199,45780000
Apple,20/06/1989,1.571429,1.571429,1.508929,1.535714,0.124308,33633600
Apple,21/06/1989,1.535714,1.553571,1.508929,1.517857,0.122863,32466000
Apple,22/06/1989,1.517857,1.5625,1.5,1.544643,0.125031,34300000
Apple,23/06/1989,1.544643,1.580357,1.544643,1.566964,0.126838,30973600
Apple,26/06/1989,1.571429,1.571429,1.544643,1.553571,0.125754,45959200
Apple,27/06/1989,1.5625,1.580357,1.517857,1.522321,0.123224,26446000
Apple,28/06/1989,1.508929,1.508929,1.464286,1.491071,0.120695,64257200
Apple,29/06/1989,1.464286,1.473214,1.428571,1.450893,0.117443,58380000
Apple,30/06/1989,1.446429,1.491071,1.410714,1.473214,0.119249,41185200
Apple,03/07/1989,1.491071,1.491071,1.455357,1.455357,0.117804,12087600
Apple,05/07/1989,1.446429,1.455357,1.428571,1.446429,0.117081,29789200
Apple,06/07/1989,1.455357,1.491071,1.4375,1.473214,0.119249,43481200
Apple,07/07/1989,1.473214,1.5,1.446429,1.473214,0.119249,26527200
Apple,10/07/1989,1.464286,1.473214,1.428571,1.446429,0.117081,50923600
Apple,11/07/1989,1.455357,1.464286,1.419643,1.419643,0.114913,60981200
Apple,12/07/1989,1.419643,1.4375,1.410714,1.428571,0.115636,31032400
Apple,13/07/1989,1.428571,1.464286,1.410714,1.450893,0.117443,56358400
Apple,14/07/1989,1.455357,1.464286,1.419643,1.455357,0.117804,64330000
Apple,17/07/1989,1.455357,1.473214,1.419643,1.455357,0.117804,32723600
